,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
337,Shenkursk,100,RU,1579489820,98,62.11,42.9,32.09,4.5
338,Nakhon Thai,76,TH,1579489821,51,17.1,100.84,84.99,6.93
339,Pleshanovo,88,RU,1579489821,97,52.83,53.48,19.76,6.93
340,Montepuez,53,MZ,1579489821,95,-13.13,39.0,72.05,7.4
341,Shetpe,100,KZ,1579489822,80,44.17,52.12,27.01,6.26
342,Puyang,0,CN,1579489822,71,29.46,119.89,48.6,2.13
343,Yaguajay,5,CU,1579489822,84,22.33,-79.24,75.29,14.9
344,Bethel,90,US,1579489822,58,41.37,-73.41,33.8,10.29
345,Asifabad,0,IN,1579489823,68,19.37,79.28,66.4,6.51
346,Astana,75,KZ,1579489625,92,51.18,71.45,5.0,2.24
347,Manadhoo,86,MV,1579489823,76,5.77,73.38,82.96,17.56
348,Hambantota,40,LK,1579489823,100,6.12,81.12,78.8,8.05
349,Fernie,90,CA,1579489824,92,49.5,-115.07,37.99,3.89
350,Grindavik,75,IS,1579489824,74,63.84,-22.43,37.4,25.28
351,Shiraz,75,IR,1579489824,93,29.6,52.54,42.8,0.67
352,Dinar,0,TR,1579489824,73,38.06,30.17,23.0,6.93
353,Riberalta,100,BO,1579489824,90,-10.98,-66.1,77.52,2.44
354,Emba,98,KZ,1579489825,98,48.83,58.14,17.78,4.88
355,Port Hedland,42,AU,1579489825,46,-20.32,118.57,93.2,6.93
356,Saint Anthony,90,US,1579489825,78,45.02,-93.22,10.99,4.7
357,Nuuk,100,GL,1579489545,61,64.18,-51.72,14.0,10.29
358,Tutoia,100,BR,1579489826,94,-2.76,-42.27,75.15,2.51
359,Ituacu,100,BR,1579489826,82,-13.81,-41.3,71.33,6.71
360,Bonthe,84,SL,1579489826,88,7.53,-12.51,76.12,1.7
361,Cap Malheureux,75,MU,1579489826,88,-19.98,57.61,81.0,4.7
362,Winnemucca,1,US,1579489826,38,40.97,-117.74,42.8,11.41
